Tipo de Inmueble,Direccion,Area Construida,Area Total,Pisos,dormitorios,baños,Cochera,Precio Soles,Precio Dolares
TERRENO EN VENTA,"Junin, Huancayo, Huancayo",Área Terreno : 178.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 175,000.00","USD 47,043.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Ate",Área Terreno : 120.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 411,810.00","USD 111,000.00"
TERRENO EN VENTA,"Lima, Lima, Villa el Salvador",Área Terreno : 140.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 333,900.00","USD 90,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",Área Construida : 78.60 m²,Área Ocupada : 78.60 m²,Pisos : 5,Habitaciones : 3,Baños : 0,Cocheras : 0,"S/. 2,200.00",USD 591.00
TERRENO COMERCIAL EN VENTA,"Junin, Huancayo, El Tambo",Área Terreno : 500.00 m2,Área Construida : 500.00 m²,Pisos : 2,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 2'040,500.00","USD 550,000.00"
LOCAL EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 0.00 m²,Área Ocupada : 80.00 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 1,600.00",USD 430.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 80.00 m²,Área Ocupada : 80.00 m²,Pisos : 9,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 1,500.00",USD 403.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",Área Construida : 58.45 m²,Área Ocupada : 58.45 m²,Pisos : 2,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 458,408.00","USD 123,227.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",Área Construida : 64.84 m²,Área Ocupada : 64.84 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 485,042.00","USD 130,387.00"
TERRENO AGRÍCOLA EN VENTA,"Lima, Cañete, San Vicente de Cañete","Área Terreno : 22,462.93 m2",Área Construida : 89.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1'109,290.00","USD 299,000.00"
TERRENO URBANO EN VENTA,"Arequipa, Arequipa, Mariano Melgar",Área Terreno : 196.82 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 204,050.00","USD 55,000.00"
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Miraflores",Área Terreno : 198.00 m2,Área Construida : 396.00 m²,Pisos : 2,Habitaciones : 5,Baños : 6,Cocheras : 0,"S/. 1'131,550.00","USD 305,000.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Lince",Área Construida : 70.00 m²,Área Ocupada : 70.00 m²,Pisos : 18,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 2,800.00",USD 752.00
DEPARTAMENTO EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 118.15 m²,Área Ocupada : 118.15 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 482,300.00","USD 130,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Prov. Const. Del Callao, Bellavista",Área Construida : 130.00 m²,Área Ocupada : 130.00 m²,Pisos : 1,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,600.00",USD 430.00
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Breña",Área Construida : 325.50 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 5,Baños : 1,Cocheras : 0,"S/. 1'391,250.00","USD 375,000.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Jacobo Hunter",Área Terreno : 147.78 m2,Área Construida : 49.00 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 383,784.00","USD 103,446.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, San Miguel",Área Construida : 70.51 m²,Área Ocupada : 97.51 m²,Pisos : 1,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 612,150.00","USD 165,000.00"
OFICINA EN VENTA,"Lima, Lima, San Borja",Área Construida : 61.80 m²,Área Ocupada : 61.80 m²,Pisos : 5,Habitaciones : 0,Baños : 0,Cocheras : 1,"S/. 667,800.00","USD 180,000.00"
TERRENO URBANO EN ALQUILER,"Lima, Lima, San Martin de Porres",Área Terreno : 220.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 5,379.00","USD 1,450.00"
OFICINA EN ALQUILER,"Lima, Lima, Lima",Área Construida : 48.00 m²,Área Ocupada : 65.00 m²,Pisos : 3,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 3,500.00",USD 940.00
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Terreno : 120.00 m2,Área Construida : 60.00 m²,Pisos : 1,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 445,200.00","USD 120,000.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Miraflores",Área Terreno : 294.00 m2,Área Construida : 385.00 m²,Pisos : 2,Habitaciones : 7,Baños : 3,Cocheras : 1,"S/. 1'150,100.00","USD 310,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Ate",Área Construida : 102.00 m²,Área Ocupada : 102.00 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 241,150.00","USD 65,000.00"
TERRENO EN VENTA,"Lima, Cañete, Asia","Área Terreno : 9,259.00 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 927,500.00","USD 250,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Miguel",Área Construida : 123.00 m²,Área Ocupada : 158.00 m²,Pisos : 5,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 612,150.00","USD 165,000.00"
TERRENO INDUSTRIAL EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 800.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 1,Cocheras : 0,"S/. 808,780.00","USD 218,000.00"
HOTEL EN VENTA,"Lima, Huaura, Santa Maria",Área Terreno : 181.77 m2,Área Construida : 744.56 m²,Pisos : 4,Habitaciones : 34,Baños : 0,Cocheras : 0,"S/. 1'799,350.00","USD 485,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 175.00 m²,Área Ocupada : 175.00 m²,Pisos : 6,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 1'224,300.00","USD 330,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Surquillo",Área Construida : 86.00 m²,Área Ocupada : 86.00 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 590,000.00","USD 158,602.00"
CASA EN VENTA,"Lima, Lima, San Martin de Porres",Área Terreno : 160.00 m2,Área Construida : 480.00 m²,Pisos : 4,Habitaciones : 5,Baños : 4,Cocheras : 0,"S/. 1'113,000.00","USD 300,000.00"
CASA URBANA EN VENTA,"Lima, Lima, Pachacamac",Área Terreno : 90.00 m2,Área Construida : 180.00 m²,Pisos : 2,Habitaciones : 6,Baños : 3,Cocheras : 1,"S/. 463,750.00","USD 125,000.00"
LOCAL EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 0.00 m²,Área Ocupada : 80.00 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 1,600.00",USD 430.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 80.00 m²,Área Ocupada : 80.00 m²,Pisos : 9,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 1,500.00",USD 403.00
CASA URBANA EN ALQUILER,"Lima, Prov. Const. Del Callao, Bellavista",Área Terreno : 413.00 m2,Área Construida : 413.00 m²,Pisos : 3,Habitaciones : 13,Baños : 7,Cocheras : 0,"S/. 4,823.00","USD 1,300.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Pachacamac",Área Terreno : 275.15 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 667,800.00","USD 180,000.00"
TERRENO INDUSTRIAL EN ALQUILER,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 800.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 3,858.00","USD 1,040.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",Área Construida : 71.26 m²,Área Ocupada : 71.26 m²,Pisos : 10,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 407,729.00","USD 109,900.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Jesus Maria",Área Construida : 90.20 m²,Área Ocupada : 90.20 m²,Pisos : 9,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 2,800.00",USD 752.00
TERRENO EN VENTA,"Arequipa, Arequipa, Arequipa",Área Terreno : 189.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 760,550.00","USD 205,000.00"
CASA EN VENTA,"Lima, Lima, Punta Hermosa",Área Terreno : 123.75 m2,Área Construida : 484.79 m²,Pisos : 3,Habitaciones : 4,Baños : 4,Cocheras : 3,"S/. 1'557,829.00","USD 419,900.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Jacobo Hunter",Área Terreno : 149.18 m2,Área Construida : 50.00 m²,Pisos : 1,Habitaciones : 1,Baños : 1,Cocheras : 0,"S/. 387,420.00","USD 104,426.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lince",Área Construida : 41.02 m²,Área Ocupada : 41.02 m²,Pisos : 3,Habitaciones : 1,Baños : 1,Cocheras : 1,"S/. 2,188.00",USD 590.00
TERRENO URBANO EN VENTA,"Lima, Huaura, Hualmay",Área Terreno : 157.66 m2,Área Construida : 157.66 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 90,000.00","USD 24,193.00"
LOCAL EN ALQUILER,"Lima, Lima, Chorrillos",Área Construida : 300.00 m²,Área Ocupada : 0 m²,Pisos : 3,Habitaciones : 9,Baños : 4,Cocheras : 0,"S/. 13,800.00","USD 3,709.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Surquillo",Área Construida : 45.00 m²,Área Ocupada : 45.00 m²,Pisos : 1,Habitaciones : 1,Baños : 1,Cocheras : 0,"S/. 1,500.00",USD 403.00
CASA DE PLAYA EN VENTA,"Lima, Cañete, Asia",Área Terreno : 102.00 m2,Área Construida : 360.00 m²,Pisos : 2,Habitaciones : 5,Baños : 5,Cocheras : 4,"S/. 1'521,100.00","USD 410,000.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Miraflores",Área Terreno : 137.00 m2,Área Construida : 200.00 m²,Pisos : 2,Habitaciones : 9,Baños : 4,Cocheras : 0,"S/. 1'031,380.00","USD 278,000.00"
CASA URBANA EN VENTA,"Lima, Lima, San Isidro",Área Terreno : 435.00 m2,Área Construida : 300.00 m²,Pisos : 2,Habitaciones : 6,Baños : 5,Cocheras : 1,"S/. 2'778,790.00","USD 749,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",Área Construida : 85.00 m²,Área Ocupada : 85.00 m²,Pisos : 11,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 549,331.00","USD 147,669.00"
DEPARTAMENTO DUPLEX EN ANTICRESIS,"Lima, Lima, La Molina",Área Construida : 200.00 m²,Área Ocupada : 200.00 m²,Pisos : 0,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 371,000.00","USD 100,000.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Pueblo Libre",Área Construida : 76.00 m²,Área Ocupada : 79.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 2,300.00",USD 618.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 262.00 m²,Área Ocupada : 262.00 m²,Pisos : 6,Habitaciones : 4,Baños : 4,Cocheras : 2,"S/. 1'780,800.00","USD 480,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Miguel",Área Construida : 104.52 m²,Área Ocupada : 126.00 m²,Pisos : 7,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 816,200.00","USD 220,000.00"
CASA EN VENTA,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",Área Terreno : 180.00 m2,Área Construida : 224.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 853,300.00","USD 230,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lima",Área Construida : 95.00 m²,Área Ocupada : 95.00 m²,Pisos : 1,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 1,800.00",USD 483.00
DEPARTAMENTO EN VENTA,"Lima, Lima, San Miguel",Área Construida : 127.00 m²,Área Ocupada : 128.00 m²,Pisos : 6,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 711,040.00","USD 191,655.00"
TERRENO URBANO EN VENTA,"Lima, Lima, San Miguel",Área Terreno : 185.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 923,790.00","USD 249,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",Área Construida : 97.00 m²,Área Ocupada : 97.00 m²,Pisos : 2,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 2,200.00",USD 591.00
OFICINA EN ALQUILER,"Lima, Prov. Const. Del Callao, Callao",Área Construida : 413.00 m²,Área Ocupada : 413.00 m²,Pisos : 1,Habitaciones : 12,Baños : 7,Cocheras : 3,"S/. 4,823.00","USD 1,300.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Puente Piedra","Área Terreno : 1,538.00 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 2'064,615.00","USD 556,500.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",Área Construida : 103.50 m²,Área Ocupada : 103.50 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 315,350.00","USD 85,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Magdalena del Mar",Área Construida : 83.77 m²,Área Ocupada : 83.77 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 400,000.00","USD 107,526.00"
LOCAL COMERCIAL EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Construida : 653.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 12,Baños : 15,Cocheras : 0,"S/. 1'187,200.00","USD 320,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Paucarpata",Área Construida : 90.00 m²,Área Ocupada : 90.00 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,000.00",USD 268.00
TERRENO EN VENTA,"Lima, Lima, Cieneguilla",Área Terreno : 753.10 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 2'522,800.00","USD 680,000.00"
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Construida : 89.54 m²,Área Ocupada : 89.54 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 396,970.00","USD 107,000.00"
CASA URBANA EN VENTA,"Lima, Lima, Pueblo Libre",Área Terreno : 100.50 m2,Área Construida : 280.28 m²,Pisos : 4,Habitaciones : 6,Baños : 4,Cocheras : 0,"S/. 916,370.00","USD 247,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, San Miguel",Área Construida : 75.00 m²,Área Ocupada : 75.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 423,774.00","USD 114,225.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lima",Área Construida : 89.00 m²,Área Ocupada : 89.00 m²,Pisos : 3,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 1,000.00",USD 268.00
LOCAL COMERCIAL EN VENTA,"Lima, Lima, La Molina",Área Construida : 450.00 m²,Área Ocupada : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 14'654,500.00","USD 3'950,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, El Agustino",Área Construida : 64.65 m²,Área Ocupada : 64.65 m²,Pisos : 5,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 100,170.00","USD 27,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Borja",Área Construida : 96.00 m²,Área Ocupada : 100.00 m²,Pisos : 3,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 3,895.00","USD 1,050.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",Área Construida : 75.80 m²,Área Ocupada : 75.80 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 489,000.00","USD 131,451.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",Área Construida : 129.22 m²,Área Ocupada : 146.59 m²,Pisos : 1,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 1'072,190.00","USD 289,000.00"
OPORTUNIDADES EN VENTA,"Lima, Lima, La Molina","Área Terreno : 3,950.00 m2",Área Construida : 450.00 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 14'654,500.00","USD 3'950,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Jesus Maria",Área Construida : 55.00 m²,Área Ocupada : 55.00 m²,Pisos : 5,Habitaciones : 2,Baños : 1,Cocheras : 1,"S/. 1,900.00",USD 510.00
OFICINA EN VENTA,"Lima, Lima, San Isidro",Área Construida : 145.00 m²,Área Ocupada : 145.00 m²,Pisos : 4,Habitaciones : 4,Baños : 1,Cocheras : 0,"S/. 923,790.00","USD 249,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 190.26 m²,Área Ocupada : 190.26 m²,Pisos : 4,Habitaciones : 5,Baños : 5,Cocheras : 2,"S/. 1'669,500.00","USD 450,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 110.00 m²,Área Ocupada : 133.00 m²,Pisos : 1,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 626,990.00","USD 169,000.00"
CASA EN VENTA,"Lima, Cañete, Cerro Azul",Área Terreno : 105.30 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 148,400.00","USD 40,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Santa Rosa",Área Terreno : 173.45 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 137,270.00","USD 37,000.00"
